,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
175,Xylan Mono,0,COMM10<DP_rep2.0_passage4.0,7.05E-05,0.000415703,0.003997429,0.000501071,0.102411392,0.001948608,0,0.004264667,0.004925338,0.010615272
176,Xylan Mono,24,COMM10<DP_rep0.0_passage4.0,0,0.003788488,0.091752449,0.003196537,2.146060181,0.03232054,0,0.091278888,0.100513328,0.262589589
177,Xylan Mono,24,COMM10<DP_rep1.0_passage4.0,0,0.002690459,0.087601355,0.003551406,2.194553849,0.010438982,0,0.07866903,0.102345072,0.252149846
178,Xylan Mono,24,COMM10<DP_rep2.0_passage4.0,0,0.001742788,0.051935096,0.001742788,2.146418269,0.00255609,0,0.070757212,0.077960737,0.256887019
179,Xylan Mono,0,SubCommD1,0,0.0075,0,0,0.0075,0,0,0,0,0
180,Xylan Mono,24,SubCommD1_rep0.0,0,0.260194292,0,0,1.570805708,0,0,0,0,0
181,Xylan Mono,24,SubCommD1_rep1.0,0,0.27901134,0,0,1.39198866,0,0,0,0,0
182,Xylan Mono,24,SubCommD1_rep2.0,0,0.27159001,0,0,0.98590999,0,0,0,0,0
183,Xylan Mono,0,SubCommD17,0,0,0,0,0,0.0075,0,0,0,0.0075
184,Xylan Mono,24,SubCommD17_rep0.0,0,0,0,0,0,0.505334042,0,0,0,0.221288562
185,Xylan Mono,24,SubCommD17_rep1.0,0,0,0,0,0,1.292419919,0,0,0,0.179347257
186,Xylan Mono,24,SubCommD17_rep2.0,0,0,0,0,0,0.625835965,0,0,0,0.158664035
187,Xylan Mono,0,SubCommD7,0,0,0,0,0.00375,0,0.00375,0.00375,0.00375,0
188,Xylan Mono,24,SubCommD7_rep0.0,0,0,0,0,1.592539238,0,0.049118226,0.0234633,0.468879236,0
189,Xylan Mono,24,SubCommD7_rep1.0,0,0,0,0,1.613586789,0,0.047212009,0.015693006,0.360008196,0
190,Xylan Mono,24,SubCommD7_rep2.0,0,0,0,0,1.728721218,0,0.061422777,0.015228788,0.441127217,0
191,Xylan Mono,0,SubCommB70,0,0,0.00375,0.00375,0,0,0,0,0.00375,0.00375
192,Xylan Mono,24,SubCommB70_rep0.0,0,0,0.158791848,0.389669862,0,0,0,0,0.902272381,0.029882658
193,Xylan Mono,24,SubCommB70_rep1.0,0,0,0.139856698,0.374245382,0,0,0,0,0.866149327,0.015614658
194,Xylan Mono,24,SubCommB70_rep2.0,0,0,0.16719389,0.364602381,0,0,0,0,0.842919774,0.013900647
195,Xylan Mono,0,subcomm13,0.0025,0.0025,0.0025,0,0.0025,0.0025,0,0,0.0025,0
196,Xylan Mono,24,subcomm13_rep0.0,0.063278487,0.139765591,0.053295231,0,1.081109886,0.286749845,0,0,0.008600959,0
197,Xylan Mono,24,subcomm13_rep1.0,0.061158141,0.213755162,0.043854862,0,1.011794323,0.255074199,0,0,0.006563313,0
198,Xylan Mono,24,subcomm13_rep2.0,0.057756202,0.152526441,0.043987696,0,0.980424942,0.366921755,0,0,0.008582965,0
199,Xylan Mono,12,subcomm13_rep0.0,0.02573012,0.341685843,0.005755422,0,0.631911446,0.116378012,0,0,0.002539157,0
200,Xylan Mono,12,subcomm13_rep1.0,0.026750407,0.370047293,0.007430669,0,0.59783106,0.100314025,0,0,0.002026546,0
201,Xylan Mono,6,subcomm13_rep0.0,0.012371075,0.049720691,0.00967229,0,0.091758708,0.010322362,0,0,0.002954875,0
202,Xylan Mono,6,subcomm13_rep1.0,0.010318499,0.042180188,0.022642702,0,0.077485403,0.006524578,0,0,0.00184863,0
203,Xylan Mono,6,subcomm13_rep2.0,0.013054369,0.053023301,0.008396699,0,0.088253981,0.008767379,0,0,0.002804272,0
204,Xylan Mono,0,SubCommB68,0.003,0.003,0.003,0,0.003,0,0.003,0,0,0
205,Xylan Mono,24,SubCommB68_rep0.0,0.066781419,0.127316277,0.097900652,0,1.572202691,0,0.007836595,0,0,0
206,Xylan Mono,24,SubCommB68_rep1.0,0.070797863,0.131692453,0.09650423,0,1.588105632,0,0.004424866,0,0,0
