,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
92,No carb,24.0,COMM10<PJ_rep1.0_passage1.0,0.020048326790054208,0.010096279678444571,0.0,0.35019667227519163,0.013269396148812862,0.02697148999813049,0.0,0.0,0.05351028229575621,0.29740755281361
93,No carb,24.0,COMM10<PJ_rep2.0_passage1.0,0.013979492600422829,0.0058623678646934465,0.0020292811839323468,0.3891710359408033,0.011424101479915431,0.03855634249471459,0.0,0.0,0.05907463002114164,0.1909027484143763
94,No carb,0.0,COMM10<PJ_rep0.0_passage2.0,0.0010641514061478093,0.0004992315238718118,0.0,0.018353327338129506,0.0009590500327011119,0.0014714192282537608,0.0,0.0,0.0034157946370176584,0.014412025833878354
95,No carb,0.0,COMM10<PJ_rep1.0_passage2.0,0.0010024163395027103,0.0005048139839222285,0.0,0.01750983361375958,0.0006634698074406431,0.0013485744999065245,0.0,0.0,0.0026755141147878107,0.014870377640680499
96,No carb,0.0,COMM10<PJ_rep2.0_passage2.0,0.0006989746300211415,0.00029311839323467234,0.00010146405919661734,0.019458551797040168,0.0005712050739957715,0.0019278171247357294,0.0,0.0,0.002953731501057082,0.009545137420718814
97,No carb,24.0,COMM10<PJ_rep1.0_passage2.0,0.002187186454849498,0.0013294662764771461,0.0010292642140468226,0.44211186594202906,0.0019727564102564104,0.002101414437012264,0.0006432901337792643,0.0005146321070234113,0.0057038391861761436,0.15790628483835004
98,No carb,24.0,COMM10<PJ_rep2.0_passage2.0,0.0021619994052339414,0.0013196619746233147,0.0012635061459159394,0.4256050257731959,0.003425505551149881,0.0038747521808088813,0.0005896362014274388,0.0008984932593180015,0.0053909595559080105,0.12197045995241873
99,No carb,0.0,COMM10<PJ_rep1.0_passage3.0,0.00010935932274247491,6.647331382385731e-05,5.146321070234113e-05,0.022105593297101454,9.863782051282053e-05,0.00010507072185061319,3.216450668896321e-05,2.5731605351170566e-05,0.00028519195930880716,0.007895314241917502
100,No carb,0.0,COMM10<PJ_rep2.0_passage3.0,0.00010809997026169707,6.598309873116573e-05,6.317530729579697e-05,0.021280251288659797,0.00017127527755749405,0.00019373760904044406,2.9481810071371938e-05,4.492466296590008e-05,0.0002695479777954005,0.006098522997620937
101,No carb,24.0,COMM10<PJ_rep0.0_passage3.0,0.0,0.0,0.0,0.3829888703394546,0.0019899833055091816,0.0,0.0019899833055091816,0.0,0.001160823594880356,0.05887033945464664
102,No carb,24.0,COMM10<PJ_rep1.0_passage3.0,0.0007966766674359566,0.0,0.0,0.3667202284791138,0.002589199169166859,0.0,0.003435668128317563,0.0,0.0011452227094391875,0.0561159127625202
103,No carb,24.0,COMM10<PJ_rep2.0_passage3.0,0.0006388386247738115,0.0,0.0,0.3593112354005593,0.0037265586445139006,0.0,0.002661827603224215,0.0,0.001277677249547623,0.06388386247738115
104,No carb,0.0,COMM10<PJ_rep0.0_passage4.0,0.0,0.0,0.0,0.01914944351697273,9.949916527545908e-05,0.0,9.949916527545908e-05,0.0,5.80411797440178e-05,0.002943516972732332
105,No carb,0.0,COMM10<PJ_rep1.0_passage4.0,3.983383337179783e-05,0.0,0.0,0.01833601142395569,0.00012945995845834295,0.0,0.00017178340641587814,0.0,5.7261135471959374e-05,0.0028057956381260097
106,No carb,0.0,COMM10<PJ_rep2.0_passage4.0,3.1941931238690576e-05,0.0,0.0,0.017965561770027966,0.00018632793222569504,0.0,0.00013309138016121073,0.0,6.388386247738115e-05,0.0031941931238690575
107,No carb,24.0,COMM10<PJ_rep0.0_passage4.0,0.0,0.0,0.0,0.33373979334677417,0.001156502016129032,0.0,0.0010230594758064515,0.0,0.0008006552419354839,0.016279989919354837
108,No carb,24.0,COMM10<PJ_rep1.0_passage4.0,0.0004714887102946805,0.0,0.0,0.3320964408725603,0.0010776884806735557,0.0,0.0021890547263681594,0.0,0.0008756218905472638,0.015289705319556068
109,No carb,24.0,COMM10<PJ_rep2.0_passage4.0,0.0,0.0,0.0,0.3252858643457384,0.0016686674669867947,0.0,0.0015383028211284511,0.00028680222088835536,0.0013557923169267706,0.016373799519807924
110,No carb,0.0,COMM10<BT,0.0010212884374565187,0.0002337553916794212,3.617642966467233e-05,0.0005920411854737718,0.006202866286350354,0.00042507304855989985,0.0004570752748017253,0.00032210936412967856,0.000682482259635453,2.713232224850424e-05
111,No carb,24.0,COMM10<BT_rep0.0_passage1.0,0.0017921841175800386,0.0040731457217728145,0.009612623903383844,0.3877634727127721,0.016129657058220347,0.028593482966845163,0.0009775549732254755,0.001059017887660932,0.042442178420872737,0.2225566822376666
112,No carb,24.0,COMM10<BT_rep1.0_passage1.0,0.0016644736842105262,0.0041359649122807,0.0,0.34429385964912285,0.01250877192982456,0.03268421052631579,0.0013114035087719296,0.0010592105263157894,0.04373026315789474,0.2831118421052632
113,No carb,24.0,COMM10<BT_rep2.0_passage1.0,0.001483187756048543,0.005362294194944732,0.0,0.35197186364690425,0.012207776145938008,0.021791450877328592,0.0018825075365231504,0.0007986395609492152,0.04666336863260415,0.29583891164875936
114,No carb,0.0,COMM10<BT_rep0.0_passage2.0,8.960920587900193e-05,0.00020365728608864072,0.0004806311951691922,0.019388173635638606,0.0008064828529110174,0.001429674148342258,4.8877748661273776e-05,5.29508943830466e-05,0.002122108921043637,0.011127834111883329
